-217441.0259128507 0.0 89
262213.35783773055 -3.556581011682632e-08 0.00011888382743517377 -0.8646841938921017
260291.75266205598 -2.4013966469549675e-08 7.230993034786028e-05 -0.9206593345575206
258123.85439041178 -1.3096530504446434e-08 3.0393377011267944e-05 -0.9973496922288935
255677.60052805048 2.6357627392103417e-08 -0.00011372587839374544 -1.083358391982657
252736.3332923744 7.092515932202909e-08 -0.0002624405755845631 -1.1670713403652515
249352.80091954436 6.360561370365424e-08 -0.00022986257942005927 -1.1793778336109093
246026.91772917088 2.5323977684388435e-08 -8.353881011270324e-05 -1.1635694906673015
243054.79534723877 -1.7267322214754442e-08 7.456857552822551e-05 -1.1182885331276209
240515.9277222993 -6.340130942113138e-08 0.00023764594280565666 -1.063129894676707
238412.44959098386 -5.386488734371766e-08 0.00019369015374841246 -1.0372477824354336
236248.9046644319 -2.3891476880713126e-08 7.98373323993227e-05 -1.0553782552883944
233798.58434139035 8.728851388990306e-09 -4.413063031249948e-05 -1.0930939259207504
230991.8621010282 3.910603138571634e-09 -2.9429314722629152e-05 -1.1524220549221074
228057.67858534007 -1.972413511334523e-09 -7.2163205096259536e-06 -1.2261955687761195
224990.05100706712 -1.8347062448103523e-08 5.1881682874957054e-05 -1.2967769066539456
221863.94353652443 1.3687932605392165e-09 -1.7696988170047398e-05 -1.3718085463735417
218426.72686906217 3.536876043737029e-08 -0.00013540819306366938 -1.4337705494015012
214631.33700449922 5.984993363994032e-08 -0.00021916343161678095 -1.4620672473566476
210623.89240591656 3.6198842711331044e-08 -0.00012576057683533936 -1.4612326733237249
206831.1003503993 1.9953775163084824e-08 -6.173249652230569e-05 -1.4275237468907964
203265.94339523767 -2.1039960073421037e-08 9.173911319763538e-05 -1.3718547911982186
200155.04737049164 -7.3748826236365e-08 0.00027261460155121245 -1.3003523352632527
197529.82555359043 -5.194641966211913e-08 0.00018868321458755043 -1.2888959090554295
194749.55558203202 -2.0248869188729624e-08 6.621471595029036e-05 -1.29713775447133
191680.38611951418 4.097696757869132e-09 -2.562917915765707e-05 -1.336189438857921
188322.64143945288 2.4499104132528194e-08 -9.910135409380641e-05 -1.3880439964574656
184697.1700020448 4.5543269653579347e-08 -0.00017129111912479253 -1.433577591742332
180836.44314892867 2.323215691783338e-08 -8.198069092699675e-05 -1.455014058888561
177131.0706459006 9.04155256066329e-09 -2.753437138904944e-05 -1.439577993804781
173581.45680974273 -1.502631700509113e-09 1.2849100922177852e-05 -1.4122120130121838
170185.983572989 -7.619669861990696e-09 3.5738399239833226e-05 -1.3763349676643617
166925.5839469937 -6.0878559357671044e-09 2.943491235911523e-05 -1.3381517478906302
163743.1851430563 -2.1364698171090598e-09 1.3651322288991593e-05 -1.3033390723702274
160609.25071031376 1.40791003473637e-09 1.9659361358999163e-07 -1.2748922959157514
157516.19329626294 -7.052281209860663e-09 2.9103889302209674e-05 -1.2487201521788407
154536.24963274391 -1.2923573516592744e-08 4.888904904621271e-05 -1.2327949780964502
