-213061.23441039116 0.0 89
257811.82894574877 -6.045780875679872e-08 0.0002095961188368465 -1.0102568346640521
255765.05878442584 -7.041031948300439e-08 0.000236790326611644 -1.046180474165966
253651.59375747252 -2.2262232617326386e-08 6.126273295378666e-05 -1.1230140676856692
251008.8234609664 1.9338885760524984e-08 -8.968197962707927e-05 -1.2124478676465598
247857.6454950611 4.268094957070314e-08 -0.00017142097521104572 -1.3093433011043767
244326.30567225447 5.9488341042567326e-08 -0.00022682138259967188 -1.3962776155391645
240499.94281848657 3.8582701132187296e-08 -0.0001426236910748807 -1.4594946933990576
236717.95868274648 7.943327970080632e-10 3.0907727443351607e-06 -1.4790116302419878
233205.89516524583 -8.534934352936185e-09 3.7989168029870296e-05 -1.4505564261138177
229833.9595171248 3.732791695118766e-08 -0.0001223922903450935 -1.415408962547499
226256.2447955279 9.606995175037368e-09 -1.9144556229339587e-05 -1.35963354704007
223023.4425166902 2.9798970719609967e-09 3.6277057440327345e-06 -1.2861231512265503
220006.2060367936 -1.9392633668017546e-08 8.11539967072687e-05 -1.2175208964113038
217290.55779724946 -3.09388072878994e-08 0.00011858002753885155 -1.1623806163837902
214762.99069835964 -5.2682494162639584e-08 0.00018823155711204933 -1.1265611660412171
212422.0289872116 -5.533649468107599e-08 0.00019138046795941858 -1.1310955305620116
210051.84661372766 -8.378582709338157e-09 1.6440074868517143e-05 -1.1661833158550072
207239.33264182863 1.557198167552794e-08 -6.848535339737878e-05 -1.231522458360572
204112.28792307148 4.771971229559386e-08 -0.000176408999996305 -1.291694867097298
200663.74134096105 4.77003229511362e-08 -0.00017166345582908134 -1.3158801704943617
197184.22703929263 2.997941424995473e-08 -0.00010258372177464124 -1.3176776764421647
193853.17933993868 -7.030740930824314e-09 3.274664937839026e-05 -1.2934033137185705
190848.05208024994 -2.9948230035646745e-08 0.00011175294671902784 -1.2574949624623544
188067.2508502318 -4.5980165990155286e-08 0.0001640651979093488 -1.237331909811516
185414.56665030858 -2.9489479234165545e-08 0.00010047450670077735 -1.2423394955866907
182611.70419079682 3.678207817838944e-09 -2.229922952561699e-05 -1.2682891314251195
179498.15524645633 6.321181755170369e-09 -3.175355846885297e-05 -1.311816252146829
176262.48283871994 1.894571720871102e-08 -7.49627142343748e-05 -1.3551691980150793
172848.59932191487 3.5463320435115294e-08 -0.00012818697213627718 -1.3883500879654866
169276.87126673307 2.1858713713169427e-08 -7.513469852807271e-05 -1.3923768822373161
165812.89422455704 3.811318362402309e-09 -7.006602347033091e-06 -1.3762982437248417
162530.24521478696 -1.263065482535408e-09 1.0521757304346016e-05 -1.344317341775775
159354.9926311592 -1.4412654432526813e-08 5.657289787429112e-05 -1.315656102233367
156331.86380075835 -1.6533431687868162e-08 6.262918646282036e-05 -1.292587012389138
153369.57326330917 -9.311538277365504e-09 3.531231793894757e-05 -1.2769834550801453
150387.16629986578 -3.953291161235216e-09 1.4136646442266514e-05 -1.268004566882661
147378.4102918883 -6.347795886095358e-10 1.4037250804032774e-06 -1.2682885109259145
144341.5312691964 3.5519884469195308e-09 -1.3430100477955663e-05 -1.2724813522343175
141267.0434839312 4.767932750810626e-09 -1.6625297008774814e-05 -1.2757141148167213
138183.18737235293 3.3801185781047927e-09 -1.0535317533567774e-05 -1.2733394801173386
135120.87722107672 4.458951921220683e-09 -1.4377535469685138e-05 -1.265667280118734
132069.71545796117 4.630028013702802e-09 -1.4491724487842468e-05 -1.2578428924038
129038.97755067535 -5.673255282551833e-09 2.2922944519964738e-05 -1.2476239286781396
126105.76847439933 -1.0994979591027408e-08 4.044271954580606e-05 -1.235411256470985
123229.18911580196 -1.3981048592309821e-08 4.949248488506843e-05 -1.2308118584090333
120374.51664414421 5.054198552279505e-10 -2.468071130512656e-06 -1.234222454873557
117412.64389716757 6.903428848621399e-09 -2.526077067822293e-05 -1.2373496624590954
114400.43878349398 4.23270795882497e-09 -1.6138269336505664e-05 -1.2396052970232008
111398.47329261187 6.149088365702813e-09 -2.1985874611185935e-05 -1.2441009131184755
108378.52511528949 6.49469306746249e-09 -2.121862952685544e-05 -1.2436460258418842
105368.80455812816 -4.59787960242615e-09 1.9066776731353796e-05 -1.2335756907551365
102461.8803791175 2.3459362527372125e-09 -5.888750330978371e-06 -1.2213370686199139
99536.50197023427 1.8812955293185813e-09 -4.683475512966522e-06 -1.209198235970229
96640.71597017212 -1.8107833491730806e-09 8.864732057701542e-06 -1.1992772161234464
93795.6708011151 -1.0398811704724792e-08 3.8568773070599175e-05 -1.1879665158095973
91030.11128183985 -6.4141970209953175e-09 2.3038755880664554e-05 -1.182089494758266
88244.28637630343 3.3070045083613373e-09 -1.176721754819583e-05 -1.182061296177212
85392.4282158615 1.64703178470465e-09 -4.9706298253688096e-06 -1.1815443472541014
82557.98445057827 3.376226187280583e-09 -1.1451055831428643e-05 -1.177025873744874
79720.94243595509 2.973866943385194e-09 -1.035663591522244e-05 -1.1738050522857881
76892.36276232316 3.184487774181882e-09 -9.831614106706305e-06 -1.1722620033573268
74073.37560032935 -5.883224514150972e-09 2.285257620965451e-05 -1.1645840151656768
71335.67564507664 -4.397501986073549e-09 1.638986600722957e-05 -1.156318247056835
68601.1094410765 -1.897288746521293e-09 7.108799142393595e-06 -1.1534513066834784
65854.5190051695 4.219653210449691e-09 -1.4276013440096778e-05 -1.1520351071308572
63072.68530377157 -1.2101899681520001e-09 4.810745818124963e-06 -1.147838890917489
60335.78735440074 5.738762145742224e-10 -1.6153222124712018e-06 -1.1456122772812736
57591.868912400394 2.818118090506436e-09 -9.590598899833262e-06 -1.1434796483679166
54838.139953422266 4.136963278377117e-10 -5.513144944371817e-07 -1.1409466767534606
52109.290902493514 -7.269473378387571e-09 2.6341069801205672e-05 -1.1364736558343622
49439.859267171676 -3.3178733722801636e-09 1.1044468618412532e-05 -1.1353390459863417
46739.693919388345 1.821419560619638e-09 -6.785968349745363e-06 -1.1395033070976892
43997.883025722826 5.343554782801686e-10 -2.0214904304102065e-06 -1.1406782416633443
41262.906448013164 4.123892474512425e-09 -1.4603896226407058e-05 -1.141169780283534
38503.89086314531 5.304150109478933e-09 -1.8420390223461213e-05 -1.1401898402169823
35741.5416845075 5.7907203831625514e-09 -1.9374518120311708e-05 -1.137190767318507
32987.57961618288 1.3774641382110221e-09 -2.432844834188706e-06 -1.1303943836371593
30286.431742989447 -1.3771941356088705e-09 7.016086453153098e-06 -1.1183599274351066
27630.452375840767 -8.020294000348705e-10 5.396556418572832e-06 -1.108445671455382
24996.816776677002 1.444282658481524e-09 -2.6935987441146332e-06 -1.0963967797011474
22376.479698797117 -3.245012066921669e-10 3.6362296229132435e-06 -1.0844619785604883
19796.722902860784 -8.062652499959282e-10 5.150432521832588e-06 -1.0726312299481051
17247.35651349539 -1.8676200538505582e-09 8.669043756898346e-06 -1.061833579763049
14729.442784500287 -1.4348675094942875e-09 7.09727085694287e-06 -1.052437004066165
12230.95337316959 -6.396089230539597e-10 4.166362801167327e-06 -1.043125620647189
9748.868616913822 1.1106581922550014e-09 -2.2402271550122495e-06 -1.0341742788566077
7275.509923938255 9.79419225181772e-10 -1.6696508650429505e-06 -1.0258047681546447
4823.656798731388 6.020288969089525e-10 -5.404871134619439e-09 -1.0169597828192594
2397.3381883171896 -4.05187006307947e-12 2.189455700673299e-06 -1.0066350147381558
0.0 0.0 0.0 -0.996221798870628
