-218007.45969643613 0.0 89
236093.3380572811 -1.8060302080011402e-08 6.764387081961907e-05 -0.9976466501443313
233790.01290053726 -4.5966578617567336e-08 0.00016729190343969986 -0.9913503527161227
231689.86157340065 -4.860084863455428e-08 0.00017044772090826795 -0.9992001706233926
229550.7001134918 -9.313595561511418e-09 2.3591808845137256e-05 -1.039007609688702
227010.29592724194 3.5041882967194106e-08 -0.00013274630814190914 -1.0910794373739228
224056.2027379364 5.7809181132422126e-08 -0.00021483928372519282 -1.110638930786111
220896.25011196142 4.9776024808957476e-08 -0.00018155066787347028 -1.1225533598042352
217788.7823173229 -1.3348051775998179e-09 1.737890032945378e-05 -1.1159860182719838
215139.8078175194 -1.295557417283031e-08 5.873607783501006e-05 -1.0548731466063037
212717.88376883196 -6.113793594410665e-08 0.00022925290304087558 -1.0003289954556183
210744.53353440165 -4.513043742112591e-08 0.0001617853657874498 -0.9777207763183151
208657.0172596315 -1.26844638836887e-08 3.723630037032209e-05 -0.997496426508974
206250.62133457526 6.378025162144482e-09 -3.4537574382129565e-05 -1.0434005181576789
203581.2990320024 1.4133006414437667e-08 -6.297765490124764e-05 -1.0977941375913483
200722.07236850896 1.6553666267877607e-08 -6.9957214902682e-05 -1.151923622698342
197723.95357098305 1.4392290395200841e-08 -5.87654047368153e-05 -1.1966732539794105
194651.60533305426 7.290539485096931e-09 -2.922939932275784e-05 -1.2254995053821258
191581.48913831962 1.8497268685949204e-08 -6.644982600932782e-05 -1.2374624507593273
188423.45212024671 2.0067424040899565e-08 -6.911512728269608e-05 -1.2300434638896232
185290.67323363674 3.16668280144717e-08 -0.00010830973663304986 -1.2074183641162317
182148.6236388416 1.6056583358748568e-08 -4.7245604025599915e-05 -1.1680146077247444
179240.05698993095 -4.861174321564474e-09 3.0429790210859918e-05 -1.110446785305643
176631.12948712995 -2.63632609040317e-08 0.0001060625903082123 -1.0488733467538327
174310.8089021449 -4.9877227408607635e-08 0.00018483140509564734 -1.003819248133114
172227.8776878264 -3.542000388462542e-08 0.00012648696364946094 -0.9961358083371478
170026.17667801518 -1.220704310030853e-08 3.855912680810112e-05 -1.0140474751245658
167594.1926639745 1.1103138982703921e-08 -4.960919651673222e-05 -1.0448771812269588
164900.26857895948 1.6889129374288598e-08 -7.010500507658455e-05 -1.0880530510224833
